text,a1,a2,a3,a4,a5,a6,a7,a8
 with engines of creation joe satriani did what he has always done: make the most of the tools he chooses to use. only this time he uses electronic beats and soundscapes as the canvas on which to express his skill with the guitar. it would be easy to give this one listen and wonder where the guy who wrote satch boogie war and flying in a blue dream went. well he's still here only more than ever he's showing us his incredible command of his instrument by being able to create sounds that so perfecly reflect what they intend to convey. i've never heard robots having sex but i'm willing to be borg sex isn't far off. and although his calmly passing sometimes noodling melodies appear to have little structure that's kinda how you'd expect to see clouds race across the sky. the 'chorus' to devil's slide sounds as sinister as its name suggests and attack is as close to a musical sci-fi battle as i've ever heard. to top it off the album includes until we say goodbye one of satch's best ballads in his entire catalogue. if you're willing to put a little more mental energy into appreciating the work satch put into this album than just waiting for the album to rock your socks off surfing with the alien-style you'll find that there's an incredible amount of depth -- and musicianship -- to be found. it's not a satriani masterpiece but its a true testament to the man's enduring creativity ,positive,positive,positive,negative,positive,negative,positive,positive
 first of all i am a fan of madonna's music (not all of it but a lot of it) as well as a huge abba fan. now i realize that sampling has been very successful for many artists... and apparently it is here as well but why can't these producers make something more intriguing or dynamic? gimme gimme gimme (the abba song that is sampled here) is a fairly simple song to begin with (as many abba songs are) but the complicated arrangements (both vocally and instrumentally) are what made abba's songs interesting and fun to listen to. but taking a few bars of the original song repeating it over and over and over adding a dance beat various other musical effects and a new melody does not add up to a pop masterpiece. i think she would've been better off either following a similar chord progression to gimme gimme gimme or just doing a cover... perhaps benny and bjrn should've stuck to their strict no sampling rule here! for some reason many of today's dance/pop songs get too caught up in the production and lack any real substance... a good example of a radio-friendly dance/pop song with a somewhat complicated chord structure is acoustic alchemy's so kylie on their american/english album (the song sounds simple enough but if you really listen to what's going on you'll notice subtle chord changes and a really nice progression). now i'm not going to say hung up is a terrible song because everyone has their own taste. but i'm sorry to say it just doesn't do anything for me.. ,negative,negative,negative,negative,negative,negative,negative,negative
 this has been my first cd of rod stewart and i am very proud to have this cdbecause worth every penny. this cd has class. congratulations to the men behind. the duet with cher bewitched bothered & bewildered is the best song.duet with queen latifah as time goes by i was astonish she has a nice voice too!!. all songs are relaxings. actually i listen this cd before to go bed ,positive,positive,positive,negative,positive,negative,positive,negative
 having been a fan of joan osborne's take of son of a preacher man on her original indie record and heat wave from the recent 'standing in the shadows of motown' soundtrack i was looking forward to hearing this record of covers. i was ultimately disappointed. first of all i have to say there are two real gems on here that really needed to be updated one for its amazing vocal/instrumental sound (the spinners' i'll be there) and the other for its message (timmy thomas' why can't we live together). to be sure there are some great tunes on here that i am always up for listening to such as stevie wonder's love's in need of love today and undisputed truth's smiling faces somtimes but osborne adds little to these. when she does change things around the effect is questionable. i know that norah jones has brought back the torch song style but osborne's bluesy take on edwin starr's war is seriously misguided. the same is true when you rip the melody and add bland vocals to classics like aretha franklin's think or the band's the weight - especially since the former could have really used some punch from such a powerful singer like osborne. overall this was a missed opportunity. i hope her upcoming 2005 record is a reinvention ,negative,negative,negative,positive,positive,negative,negative,negative
 ana carolina is a good singer and seu jorge is a cult culture figure here in brazil but this cd is a mistake. do not spend money on this ,positive,negative,negative,negative,negative,negative,negative,negative
 i am a big ambrosia fan and i love biggest part of me you're the only woman how much i feel and the newer track i just can't let go. however i wish this cd contained all of their billboard hot 100 hits. the cd is missing their cover of magical mystery tour (#39) and how can you love me (#86). for the casual listener this cd is perfect. for the chart hit completionists out there it misses a couple songs. i bought this cd used for $1.99 which was a huge bargain for the songs included. for that price i can certainly try to download the missing tracks ,positive,positive,positive,positive,positive,negative,positive,negative
 i cant understand how anyone can give this album more than one star. luckily i got this cd for free when they were handing them out to everyone who came to their shows on their 2005 tour. i love classic journey but this band has gone downhill faster than i ever thought possible. most of the songs are terrible-boring music and even worse lyrics. 'arrival' was pretty mediocre but this is about 5 steps down from there. granted steve augeri does complete justice to the old songs in concert and really sounds great but he obviously has nothing to offer in the way of songwriting. the only way this band will ever create quality new music is if perry were to stop sitting around at home and come back to the band. otherwise the band should seriously consider not making any more new music and just go on tour every couple of years ,positive,negative,negative,negative,positive,negative,negative,negative
 every singer ends up attempting sinatra eventually but few manage so well.... john pizzarelli has been playing jazz guitar with his legendary father bucky since he was 6 years old. john's latest album is dear mr. sinatra on which he plays songs written for ol' blue eyes.... the crooner is noted for his sensitive phrasing and powerful interpretative voice which recall the relaxed stylings of nat king cole and chet baker as well as for his fluid inventive guitar playing. on this album of covers of songs made famous by frank sinatra john pizzarelli wisely avoids the pitfalls of ol' blue eyes imitations in favor of his own intimate approach best heard on the set's more relaxed arrangements. my highlights are the tracks i've got you under my skin nice and easy and you make me feel so young. both attention-grabbing and supportive his expertly arranged big band accompaniment likewise evokes the ring-a-ding-ding of the rat pack era while steering clear of mere pastiche. with a total time just under 40 minutes the program is a little short by cd standards but the performances by john pizzarelli and the clayton-hamilton jazz orchestra in this warm tribute to frank sinatra are consistently of high caliber and hit the mark every time. ,positive,negative,positive,positive,positive,positive,positive,negative
 not the type of music i had envisioned...much slower than i was hoping for. ,negative,negative,negative,negative,negative,negative,negative,negative
 after reading her excellent halloween book i figured her halloween cd would be worth owning. i always search for different halloween cds but this was filled with the same old stuff. chains moans and spooky laughs... then more chains moans and spooky laughs. very dissapointing ,negative,negative,negative,negative,negative,negative,negative,negative
 after reading her excellent halloween book i figured her halloween cd would be worth owning. i always search for different halloween cds but this was filled with the same old stuff. chains moans and spooky laughs... then more chains moans and spooky laughs. very dissapointing ,negative,negative,positive,positive,negative,negative,negative,negative
 maybe its just me but the piano is out of tune badly enough that it should not have been recorded. i had to force myself to finish listening to the concerto and did not even bother with the rest. sad piece of work ,positive,negative,negative,negative,negative,negative,negative,negative
 wow did someone slip the wrong cd into my jewelbox or what? if you're a fan of allison's other work epect nothing like what you've heard before. this is mostly a pop album and the songs that could have been saved are ruined by the awful engineering. the sound is way over compressed and artificial sounding. even allisons voice has no drive to it. steve earl is no match on the guitar for joe mcmahan who played on the show cd/dvd. ,negative,negative,negative,positive,negative,negative,negative,negative
 wild card is the best song on this cd. the rest just didn't do it for me and i didn't care for the latin flavor. this cd was a mess. if the rest of the songs were along the lines of wild card i would have kept the cd. this didn't say rippingtons to me. ,positive,negative,negative,negative,negative,positive,negative,negative
 this cd is a classic a must for all those who loved the movie. i wondered if i would get a crackling type of sound but it is as crystal clear as the movie sound. this is perfect for those who want to practice the songs for a sound of music event or a singing class! ,positive,positive,positive,negative,positive,positive,positive,negative
 the animals a group that included eric burdon and alan price were the first major pop stars to emerge from newcastle a city located about 300 miles north of london therefore far removed from where most talent scouts were searching. it is fortunate for us all that the animals were discovered because they recorded some of the best r+b music to come of the uk in the sixties. their biggest hit was house of the rising sun a re-working of a folk song (apparently inspired by josh white's version of the song) that gave them a transatlantic number one hit. they had five other top ten uk hits with mickie most these being i'm crying don't let me be misunderstood (a cover of a nina simone song) bring it on home to me (a sam cooke cover) we gotta get out of this place (the version included here is the uk version - a markedly different recording was released in america but was unavailable for inclusion in this set) and it's my life. apart from their singles the animals recorded many other covers including boom boom dimples i'm mad again (all john lee hooker) around and around memphis tennessee how you've changed (all chuck berry) i'm in love again i've been around (both fats domino) talking about you hallelujah i love her so and i believe to my soul (all ray charles). these covers clearly demonstrate what their main influences were but they also wrote some of their own songs. all the music i've mentioned so far and much more can be found on this excellent compilation. nevertheless despite the title of the compilation it isn't actually their complete recordings - there is a sub-text explaining that these are the complete recordings that they made with mickie most as producer although the liner notes describe their whole career. after the split they switched to another record label where they had some success using the name eric burdon and the animals including two more uk top ten hits (don't bring me down san franciscan nights) and several lesser hits all of which can be found elsewhere (search for eric burdon). alan price left the group before the split with mickie most and had several hits as a solo singer. these are also outside the scope of this collection but are easy to find. this complete collection (apart from the american version of we've got to get out of this place) of the first and most important part of the animals' career may be more than some people want - there are single cd collections available if you just want the hits - but if like me you like to explore beyond the hits this is for you ,positive,negative,positive,negative,positive,negative,positive,negative
 aretha's voice her style delivery and interpretation of her music is incomparable. these songs are more than just classics; they're a songbook to millions of people's lives who grew up listening to her in the 60's and 70's as i did. they evolk memories of times that changed our world and showed just how powerful and influential music could be for generations to come. there is not much that came before and very little that came after these golden years for aretha that can compare to this treasury of her music. sadly the aretha frankiln of 2007 pales in comparison to the aretha franklin of this time who was truly and rightfully the queen of soul. ,positive,negative,positive,positive,positive,positive,positive,negative
 i was anxious to hear an astounding modern yet retro dance disc from one of my favorite girl groups of the 80s. unfortunately instead of picking up on the latest influence of 80s music in dance music what we get here is predominantly disco flavored tracks that sound painfully dated with some latin tones now and then. the only semi retro/electro tracks on here (and my favorites) are feel for you love bite your love is like a drug and marc almond's remix of venus. the two lead singles move in my direction and look on the floor are not even the strongest tracks! and the remixes on their singles don't make them much better. i appreciate the commercial direction the girls have taken but you can still sound mainstream while being more sophisticated than this. take a listen to the new madonna or even the kelly osbourne(!) to hear some infectious melodies with an 80s flair that don't melt down into total cheese. unfortunately i just don't see us radio embracing any of the sounds on this disc. but of course fans of bananarama should still add this one to their collection. it's listenable if not up to today's standards ,positive,negative,negative,negative,negative,positive,positive,negative
 i loved her first album but this one is the same old same old rehashed time and time again she has reached her limits i'm afriad ,positive,negative,negative,negative,negative,negative,negative,negative
 flcl is the worst anime of all time and possibly the worst thing to come out of japan since the pearl harbor attacks and the soundtrack is just as bad if not worse. its nothing more than j-pop mixed with bad japanese rock. bad guitar playing boring drum beats and inaudible bass; you've heard one pillows song you've heard them all. only otakus with no life love this s*** (like matthew g. salisbury). if you want good japanese music go for king's evil. ps that album cover is possibly the worst ever made ,positive,negative,negative,negative,negative,negative,negative,positive
 i just purchased this album my first misfits album and every song on it rocks (i especially like where eagles dare). i just bought two more albums walk among us and static age and i wish they would hurry up and get here in the mail because i cant wait. my only complain is the sound quality. it sounds like they put a dollar store tape recorder in the corner and started rocking...but i guess that makes it sound more real too. metallica covered a couple of their albums on their garage album but it just isnt the same. ,positive,negative,positive,negative,positive,negative,negative,positive
 like it says in the (33 1/3) liner notes: ...world class chops and originality. if jazz is your bag and guitar licks get your attention these tracks will set off fireworks! my music collection started circa 1960 but these guys made it to the top of my list in a heartbeat! if i could i'd give it 10 stars ,positive,negative,negative,positive,negative,negative,positive,negative
 toad the wet sprocket have to be one of the most underated bands of the ninties. they wrote some brilliant material and a lot of the songs on this album are very enjoyable. but there are some strange ones that are do not appeal to my taste. my fave song is 'is it for me'. it is hard to classify them though. it sort of deep and meaningful (at most times) pop rock. other good tracks include walk on the ocean pray your gods and i will not take...etc. i regard this album and 'dulcinea' as their two best albums ,positive,negative,positive,negative,positive,positive,positive,positive
 im not surprised that this album is garbage because fiddy has been putting out trash lately (think tony gayo). there are no standout tracks and prodigy doesnt even rhyme anymore. all prodigy does is spit run-on sentences throughout every track and havoc sounds like he's just there to be there. amerikaz nightmare was a sign that it was over for them. did we really have to hear this one to see that? if you are a mobb deep fan buy every album before amerikaz nightmre and keep it moving ,negative,negative,positive,positive,negative,negative,negative,negative
 nwa was an original rap group and with that being said this is definitely a must have album for rap lovers. along with public enemy nwa christened their genre with hard core lyrics and tight bass beats. although i don't agree with some of their lyrics one would not expect this white kid to fully understand their view on life. anyways buy this album i recommend it. keep it away from the kiddies though ,positive,negative,positive,negative,positive,negative,positive,negative
 generally on amazon.com the average rating of an album does not accurately indicate its quality - that is the albums are usually highly overrated. this is probably due to the voluntary nature of the reviews and the fact that the fans of an artist are far more likely to review their albums and give them high scores than a casual music listener giving them the score they deserve. as a result of this generally albums that have an average score of 4.5 - 5 stars are usually excellent albums. ones with a score of 4 are generally good and 3.5 indicates a pretty average album. average scores any lower than 3.5 stars generally indicate a pretty poor album. as i mentioned before due to the high proportion of fans reviewing albums the average score rarely falls below 3 stars. it takes a pretty horrendous album like limp bizkit's results may vary to get a score of even 2.5. in fact i didn't even think that it was possible for an album to get less than 2.5 - that is until i saw this pile of feces. now to put this average score of 2 into context - this means that the proportion of hataz reviewing this album is even more than the proportion of fans reviewing it. out of all the terrible albums i have viewed i have never seen this happen before. not even to bands as terrible as limp bizkit or even an*l c*nt. this obviously indicates a decline in fan numbers and hopefully the end of chingy's 15 minutes of fame ,negative,negative,negative,negative,negative,positive,negative,negative
 2nd time. ,negative,negative,negative,negative,positive,positive,negative,negative
 this movie was only good because of two reasons. rammstein and queens of the stone age. other than that completel out of control p.o.s. that keeps its viewers contemplating whether they have died and this movie is their eternal punishment in hell ,negative,negative,negative,positive,negative,negative,negative,negative
 who the **ck are gnr?? plus they make awful music! i can't stand this annyoing album. the music is awful so as the lyrics. there is not one good song on this piece of s**t. it is a album that contains 12 crappy songs. axl rose is a very annoying lead singer just screams and sings horribly and slash is terrible too. in the way stay away from this as well as gnrs other albums. leave gnr alone....gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks gnr sucks. i recommend buy these albums insted. foreigner 4 love over gold-dire straits on every street-dire straits combat rock-the clash how to dismantle an atomic bomb-u2 american idiot-green day animal magnetism-scorpions load-metallica reload-metallica and justice for all-metallica master of puppets-metallica ride the lightning-metallica self title black album-metallica past masters vol 2-beatles physical graffiti-led zeppelin some girls-the rolling stones greatest hits-neil young the last dj-tom petty -gnr are as bad as pink floyd pearl jam nirvana and ac/dc. avoid all albums from those bands. ,positive,negative,negative,positive,negative,positive,negative,positive
 after reading so many positive reviews i was very exited when i recieved this cd in the mail. i popped it in my bose wave radio turned it up to 85 and listened to the most annoying hissing sound i've ever heard coming from my system. i regret purchasing this cd ,positive,negative,negative,positive,positive,negative,negative,negative
 hey brrrrruuuuuccce! what's the deal? just about every major top 40 artist has had their catalogs sonically updated except yours. why can we buy the tracks editions and get glorious hdcd-encoded sound but town sounds like it's coming out an am radio? ok you did your best but dubya's back in the white house for the next four years and kerry's home in his underwear watching the weather channel. you should have plenty of time on your hands now... get busy! let's see some remastering! ,negative,negative,negative,positive,negative,negative,negative,negative
 i liked the santana - steven tyler song/video. since i found out about the sneaky root kit this software installs and the idea of no free use of something i buy within reasonable means - i wont buy the cd. want to make sure that sony loses money in this effort - will teach them a lesson. i have been burned by sony's proprietary [...] before on other items so i will stay away. ,negative,negative,negative,negative,negative,positive,negative,negative
 first show on broadway i ever left at intermission. i bought the tickets because i didn't think i could go wrong seeing a show directed by strohman starring craig bierko who was fantastic in music man and was flat flat flat in this show and music by harry connick jr. whom i have loved forever. it taught me that everything has it's place and harry's place is not a broadway stage. i hope for his sake he does not try again. if i could rate something at zero stars this would get that rating ,positive,negative,negative,positive,positive,positive,negative,negative
 from the twang of his guitar to the cowboy hat perched on his head george strait is totally and completely revolting. i mean for goodness sake the man's like 100 years old! how much longer is it going to take for everyone to realize that? if you like this kind of music please go to charter before you're beyond help. take this as a warning-don't buy the cd ,negative,negative,negative,negative,negative,negative,negative,negative
 as a band the byrds are one of the greatest and certainly one of the most influential bands in rock and roll history. adding to that legacy mr. tamborine man's status as one of the greatest debut albums in rock history is almost without question. this band could do it all; country folk rock jam psychedelica etc etc. and this debut was perhaps the pinnacle of their achievements. though they would venture into much more adventurous territory (notorious byrd brothers) this was where the band was the most solid the most tight collectively. dylan's influence is everywhere from the get-go; 4 of his songs span the album including the title track which the byrd's turned into his only #1 hit. elsewhere there are two other covers but the songs with the best longevity are originals mostly penned by gene clark. witness the tortured romance of i'll feel a whole lot better and here without you and tell me he wasn't a great songwriter. roger mcguinn (or jim if you like) was quick about finding his signature nasally croon that would go on to influence tom petty among others. obviously not everyone had found their place; songs by chris hillman and david crosby are nowhere to be found. but mr. tamborine man stand today every bit as tall as the early works of dylan and the beatles. this is the album that set the standard for folk-rock from then on from buffalo springfield to rem to toad the wet sprocket to the most current emo bands. overall: 10 out of 10 ,positive,negative,positive,positive,positive,positive,positive,positive
 ok so the song playing when brian goes and we see mia for the first time is a song called deep enough (urban remix) by live. i have the other songs written down including the one played between the two buildings so i will find them and tell you. if you all want only the songs that were actually in the movie rent the dvd and take about ten minutes to watch the credits and write down the song names and artists. that's how i have only the songs that are in the movie ,positive,negative,negative,negative,negative,positive,positive,negative
 this is one of those rare cds that you'll leave in your car cd player for months and not get tired of because it fits most moods. feels like melissa etheridge meets cheryl crow with an old blues feel here and there and some nice heavy tori amos-like piano and vocals here and there too ,positive,positive,positive,negative,positive,negative,positive,negative
 this album is one of the best sonic youth album...i advise everyone to listen this album...break the circle of common popular music...this album irritates your soul and freedback your dreams.. ,positive,negative,negative,negative,negative,negative,positive,negative
 i remember this album well; you could hardly call it a 'barnstormer' as it was released well before under the bridge made them the bandwagon band of the year but nothing could hide the fact that this was a band hellbent on proving the critics right--they never had a good album. for every song worth listening to (suck my kiss give it away) there were at least four more songs that should have been discarded. this album was and remains a perfect example of why bands shouldn't feel obliged to slam 50 minutes of crap onto a slab of aluminum just because they can. on top of that the vocals were pitched and pro-tooled beyond belief. some friends and i got a chance to see the band when they were supporting this album and kiedis was so off-key it wasn't funny. they drowned their sound in reverb so to try and drown out his lousy vocals but the damage was done. people were walking out in droves ,negative,negative,negative,negative,negative,negative,negative,negative
 great fan of the man they call 'sugar' zucchero but this outing is really below par. this cd consists of rerecordings of older songs with the addition of other famous singers. did he send the original recordings to these people en did they ad little pieces here and there? it sounds like it! none of the songs have gotten' better compared to the originals. to me this cd is a total rip off intended to make easy money (and get more attention for 'sugar' outside of italy?). don't buy it get 'oro' 'shake' or 'blue sugar' instead ,positive,negative,negative,negative,positive,negative,negative,negative
 if the name pink floyd wasn't on this cd who would really rate it higher that one or two stars ? i am a pink floyd fan but i have to say that i don't like any of their early works. to me the band begins to make great stuff with meddle and their first cd were boring even with the pink floyd name on it. the only good track is childhood's end the other tracks are poor ,negative,negative,negative,positive,negative,negative,negative,negative
 ok first off this is the first corrs release i've listenend to. i'm offering my opinion without knowing anything else they may have done. i've listened to the cd 10 times or so on random occasions when i need a break from my normal diet of punk and garage rock. it sounds good. a little too good. i agree that it's overproduced doesn't sound even remotely spontaneous. the studio work is well done but overdone. i'd like to hear something else to see what they really sound like. the content of the songs is what bothers me. aside from being sappy sentimental drivvel (this is pop music after all - i wasn't expecting anything else) everything sounds like a commercial ditty or a part of a movie soundtrack. mmm-hmm. track 1 - i see a not-so overweight soccermom smiling on a treadmill at curves(tm) then hopping in the ford expedition(tm) and cheering on the kids at their soccer game with a sunnyd(tm) in each hand. track 2 - helicopter pans out as mid-20's girl drives curvy mountain road in vw cabrio(tm)(r) with top down thinking about handsome lover... lmn(r) watermark in lower-right corner of screen... track 3 - sad animals. images of puppys in cages. track 4 - actually i like this one. mellow laid back. track 5 - ugh. track 6 - this one is the most clever! i see the band members - 3 girls 1 guy - on one side of a table under a hanging lamp in an otherwise black room while 3 gentlemen in suits open a breifcase full of money push it towards them and say as you're aware the radio has lost it's credibility. the kids are figuring out that there are other bands out there beside what we pump across the airwaves at them. we need to entice them back. if you want a single and this pile of cash says you do then you'll do what you can to save this dying medium. hell you work in the word radio and we'll double what we're giving you. come on the song even sounds like a psa for the international radio marketing council... track 7 - sounds like a pepsi commercial. track 8 - ugh. wait wasn't this track 5? track 9 - sappy but ok. sounds like they actually put effort into the lyrics. thumbs up. track 10 - not remotely original but alright. track 11 - interesting sound. good beat. correct me if i'm worng but was that a semi-pagan reference there? that would be a bold move for which i'd applaud them if in fact it is. not that i'm pagan or anything but hey its a religiously positive non-christian reference that doesn't involve marilyn manson and that takes guts. especially for radio-loving girls bands. track 12 - laid back. almost has a jazzy lounge feel. track 13 - produced by former ace of base member? bubbly upbeat not too bad. track 14 - written and produced by avril lavigne... track 15 - wow! a relatively celtic-sounding song from a relatively celtic band!! and instrumental too - big thumbs up! in fact maybe that's the key. whatever. long-winded i know but fair. this album didn't turn me off to the corrs completely but i don't have very high hopes now. flame away kiddies. ,negative,negative,negative,negative,negative,negative,negative,positive
 ...unless it is rock and roll played by ac/dc. i f***ing hate them. they are overplayed so much on the radio and that is the most annoying voice i have ever heard in my life. don't waste your money on this cd just turn on the radio...then turn it off ,positive,negative,negative,negative,negative,positive,negative,positive
 forget the fact that despite the grumbling about today's music too many people just swallow and digest the slop record companies throw at them hollaback girl is the absolute dumbest song i've ever had the displeasure to hear. there are two main parts to this travesty: 1. where she says that's my sh** no less than a million times and 2. she demonstrates that she's hooked on phonics by being kind enough to spell bananas for the rest of us. if this is supposed to be rap stefani failed miserably. if it's supposed to be dance again she failed miserably. to be honest i don't know what the hell this is supposed to be because it sure isn't music. the fact that it was number one for so long proves that perhaps people don't have any requirements for their ears. - donna di giacom ,positive,negative,negative,negative,positive,negative,negative,negative
 good music but a bad title! elvis has left the planet but a new king has been born with the self proclaimed new king of rock and roll ken rondell at http://www.cdbaby.com/cd/bigra ,positive,negative,negative,positive,negative,negative,negative,positive
 jessica is blessed with a powerful and beautiful voice but you won't get the chance to hear it on this cd. this cd is a complete let down. it is her worst one yet! don't get me wrong. i love jessica but seeing her waste her god given gift on a bunch of kitty cat songs is just so... tragic ,positive,negative,negative,positive,negative,negative,negative,negative
 very very dissapointed. e-40 raps too quick he is too hard to understand and he sounds like a trick ,negative,negative,negative,positive,negative,negative,negative,negative
 this cd was devoid of any of govi's usual emotional imprint or soaring guitar work. frankly it was just a bunch of new age background noise that one would hear on elevators. some of the craig chaquico-style stuff was interesting but better left to craig. try 7th heaven mosaico or guitar odyssey instead ,negative,negative,negative,positive,negative,negative,negative,negative
 very essential music.the arrangements&amp;styles work very well.he has great depth&amp;feel here.it's classic ellington.he was always constantly changing music ,positive,positive,positive,negative,positive,positive,positive,negative
